"symbol","FKPM_CTL_ZT10","FKPM_CTL_ZT14","FKPM_CTL_ZT18","FKPM_CTL_ZT2","FKPM_CTL_ZT22","FKPM_CTL_ZT6"
"4933403O08Rik",78.8203,125.442,130.851,130.144,95.1029,45.1859
"A1bg",77.5281,197.279,137.181,117.664,232.311,212.025
"A2m",228.894,45.215,91.7679,96.2382,80.6964,165.301
"A2ml1",210.296,162.057,392.904,133.047,289.517,222.33
"A3galt2",2053.95,1303.21,1711.87,1844.56,1310.86,1865.57
"A4galt",41.3029,19.734,0,18.667,58.8265,0
"Aaas",11012.1,10617.5,11438.4,10958.1,10941.2,10841
"AABR07000137.1",0,117.785,69.9607,21.3337,0,70.2143
"AABR07000158.1",49.746,24.19,0,74.9044,0,70.7382
"AABR07000222.1",13202.1,13670.9,10709.3,13602.9,11785.8,13040.7
"AABR07000276.1",20.6514,0,64.4876,0,36.2763,23.5794
"AABR07000989.1",26.3276,0,0,21.3337,94.7627,45.866
"AABR07001416.1",0,0,0,0,48.3685,73.6362
"AABR07001435.1",699.069,1091.32,868.344,932.18,596.342,630.848
"AABR07001512.1",3374.29,3846.04,4075.87,4027.93,4363.14,3499.18
"AABR07001592.2",20.6514,0,29.5073,37.1894,22.21,23.5794
"AABR07001902.1",5597.38,4520.51,5467.06,4906.14,3409.64,5694.36
"AABR07001923.1",14553.2,17302.3,16352.2,15104.4,17343.9,14222.8
"AABR07001942.1",190.521,447.892,357.847,311.625,367.979,230.712
"AABR07002384.1",208.658,159.102,157.112,290.094,194.754,118.053
"AABR07002546.1",469.739,532.017,658.898,872.909,524.743,435.626
"AABR07002683.1",2984.42,3587.21,2719.87,2680.18,2690.52,2639.54
"AABR07002938.1",11026.5,11701,10767.1,13481.5,10648.3,11402.3
"AABR07002945.2",213.919,185.935,563.703,349.615,661.458,531.053
"AABR07002969.1",6099.28,4845.71,5776.03,5335.49,4918.38,6003
"AABR07003173.1",2101.72,1693.87,1778.91,1765.47,1810.91,1885.62
"AABR07004112.1",68270.8,79966.6,68381.4,70722.7,79751.7,71041.5
"AABR07004232.1",0,19.734,59.0145,0,44.42,0
"AABR07004269.3",12779.6,16124.3,18015.8,16067.9,16431.1,14352.8
"AABR07004876.1",48.2712,0,0,18.9033,0,25.0284
"AABR07004881.1",6194.06,6936.36,6752.94,7208.87,7877.38,8002.75
"AABR07004992.1",2389.17,2308.02,2420.46,2428.89,2382.02,2509.08
"AABR07005031.1",131.313,24.19,91.7679,80.2378,77.7817,23.5794
"AABR07005588.1",33133.52,34820.235,29332.92,30298.19,31775.685,33008.69
"AABR07005779.3",70680.4,71767.8,64502.9,66963.4,70947.9,70415.1
"AABR07006081.1",26.3276,73.1283,140.778,73.7615,95.1029,70.2143
"AABR07006111.1",113.155,108.873,0,93.4268,87.8996,49.3767
"AABR07006255.1",53.9473,106.999,62.2607,77.1902,77.7817,195.969
"AABR07006283.1",333.88,283.193,231.176,325.142,327.768,330.078
"AABR07006333.1",3544.58,4081.55,3474.8,3701.74,4407.45,3968.15
"AABR07006685.1",75.8909,42.05,138.551,93.2821,0,171.029
"AABR07006688.2",1400.08,1886.9,1742.06,1745.19,1329.31,1864.12
"AABR07007032.1",6671.68,7006.868,7258.365,6788.792,6122.6955,6350.3
"AABR07007121.1",120.123,39.4679,0,92.6649,81.0365,23.5794
"AABR07007730.1",220.887,204.317,173.609,289.385,158.478,411.327
"AABR07008066.2",381.599,463.32,289.762,470.288,487.526,280.367
"AABR07008608.1",2330.24,2687.8,2501.44,2407.17,2977.19,1970.3
"AABR07008724.1",98.0172,143.824,70.8174,39.6198,29.4133,25.0284
"AABR07008940.1",52.6551,63.658,29.5073,0,22.21,0
"AABR07009105.1",80.2755,93.5954,27.2805,18.6672,77.7832,24.3488
"AABR07009634.1",0,24.19,0,0,48.3685,24.3483
"AABR07009978.1",26.3276,0,34.9804,0,22.21,45.1859
"AABR07010705.1",5884.7,6702.32,5906.09,6085.89,6123.18,5461.78
"AABR07010787.1",127.091,63.0749,304.811,125.572,180.688,209.194
"AABR07011697.1",118087,125379,113621,115275,119341,112723
"AABR07011698.1",4689.89,5026.67,4864.23,4236.16,5272.5,4911.42
"AABR07011733.1",0,0,0,18.9033,48.3685,0
"AABR07012054.1",46.979,0,34.9804,37.1894,0,0
"AABR07012868.1",99.6627,251.196,362.027,275.236,336.274,301.627
"AABR07013065.1",0,21.025,0,0,22.21,0
"AABR07013165.1",0,0,0,37.1894,36.2763,25.0284
"AABR07013654.1",0,0,0,0,22.21,20.8376
"AABR07014306.2",46.979,19.734,0,54.8582,29.4133,49.3767
"AABR07014676.1",175.545,76.2934,175.759,174.716,84.6448,116.693
"AABR07015180.1",2190.69,2676.79,1782.85,2154.18,1985.78,2194.38
"AABR07015346.1",10671.3,8508.36,8216.92,9388.52,9156.73,9781.28
"AABR07015507.1",5023.865,5755.69,4488.725,5448.048,4883.815,5378.52
"AABR07015559.1",27.6197,0,0,0,22.21,0
"AABR07015889.1",2099.31,2306.21,1647.82,2364.23,1934.14,2305.7
"AABR07017236.2",78.8203,45.215,76.2905,18.2861,65.6896,158.279
"AABR07017241.1",20.6514,24.19,0,39.6198,87.8996,41.6752
"AABR07017250.1",1643.23,1661.14,1371.9,1438.28,1382.82,1229.92
"AABR07017874.1",104.985,139.368,29.5073,114.524,77.7817,141.041
"AABR07017902.1",5.162849325,13.83204795,47.211483,43.5114175,16.65742329,5.2144225
"AABR07017917.1",26.3276,0,56.7875,0,0,23.5794
"AABR07017999.1",96.725,73.1283,161.729,18.2861,118.253,23.5794
"AABR07018058.1",232.402,84.683,192.099,288.28,217.659,118.911
"AABR07018132.1",0,0,34.9804,18.9033,0,47.1588
"AABR07018244.2",957.18,625.438,1039.56,1236.71,520.548,847.253
"AABR07018556.1",52.4927,0,0,39.6198,0,0
"AABR07019088.1",237.753,603.296,217.146,393.859,151.615,400.292
"AABR07019403.1",18289.8,19507.7,17574.4,21428.6,19079.1,19561.9
"AABR07020987.1",252.891,236.189,246.653,275.815,314.642,414.041
"AABR07020999.1",0,0,0,42.6675,48.3685,0
"AABR07021022.1",198.884,310.417,533.955,573.901,259.47,613.819
"AABR07021080.1",0,24.19,0,0,0,0
"AABR07021384.1",7627.57,7547.42,6815.26,7512.9,8585.08,7083.62
"AABR07021465.2",27.6197,0,27.2803,0,29.4133,70.2143
"AABR07021503.1",90.7971,111.27505,112.4135,86.58975,55.2249,72.22725
"AABR07021536.1",4963.85,5612.65,4799.25,5395.75,6724.74,4885.89
"AABR07021573.2",71.852,84.4728,124.521,74.7597,0,96.6243
"AABR07021591.1",0,0,29.5073,18.667,0,0
"AABR07021636.1",46.979,0,76.2905,80.4741,44.42,49.3767
"AABR07021734.1",3923.58,3265.08,3975.55,4132.26,4000.72,4043.91
"AABR07021759.1",9437.6,11170.8,9157.93,9055.93,9756.94,9950.1
"AABR07022098.1",328.366,610.16,468.921,508.948,588.799,430.804
"AABR07022168.1",20.6514,0,27.2803,0,0,93.7937
"AABR07024439.1",809.548,675.385,756.645,831.91,941.184,723.983
"AABR07024442.1",0,0,0,0,22.21,25.0284
"AABR07025010.1",3986.48,3736.73,2745.27,3188.69,2859.18,3111.87
"AABR07025089.1",1066.34,1267.93,1563.67,1314.75,1296.64,1654.96
"AABR07025743.1",764.859,762.747,593.554,747.52,1013.04,638.528
"AABR07025757.1",14889.1,15729.3,16268.6,15195.1,15671.9,15298.9
"AABR07025896.1",51.2006,53.3944,59.0145,18.2861,0,20.8376
"AABR07025986.2",107.895,140.659,130.851,76.192,141.157,0
"AABR07026002.1",5016.51,6181.2,4884.07,5110.79,5568.16,4996.31
"AABR07026048.1",51.2006,32.3694,0,0,29.4133,0
"AABR07026291.1",15246.3,17447.5,15848.6,15867.9,16867.3,15499.4
"AABR07026557.1",0,0,0,0,0,20.8376
"AABR07026565.1",73.3066,106.999,41.3102,114.761,194.754,138.211
"AABR07026797.1",7021.85,8697.51,8200.85,7819.45,8401.55,8786.29
"AABR07026805.2",26.3276,0,0,18.667,0,20.8376
"AABR07026929.1",207.366,262.961,162.585,212.431,175.799,117.373
"AABR07027141.1",0,0,0,21.3337,0,0
"AABR07027267.1",0,67.17705,47.93535,21.33375,14.70665,0
"AABR07027753.1",24.873,0,0,37.5704,0,67.9964
"AABR07027810.4",0,0,0,0,0,25.0284
"AABR07027854.1",6221.96,7077.09,6367.33,6630,7044.54,6547.55
"AABR07027872.1",45.5244,71.8373,86.2948,37.5704,0,23.5794
