symbol,ZT24,ZT26,ZT28,ZT30,ZT32,ZT34,ZT36,ZT38,ZT40,ZT42,ZT44,ZT46
TSPAN6,18.2712105,19.002608,17.989074,16.953951,16.450277,27.535971,18.5647627,27.625186,17.14024,19.001221,17.443549,21.075515
TNMD,0,0,0,0,0,0,0,0.0806718,0,0.0272043,0,0
DPM1,38.969609,36.4266455,39.24287,42.940171,42.075135,44.477474,47.15777,42.793599,50.8091963,36.73237,41.853449,35.956803
SCYL3,7.04705,8.900648,8.463938,6.380586,6.633774,5.8526291,6.644542,6.859926,7.362751,6.27527,6.8706839,6.51101
C1orf112,3.797784,4.580559403,6.064863367,6.1787084,5.665583,11.751965,7.407683,7.1462566,7.2236706,6.25978301,4.7621302,6.20564
FGR,0,0.151929,0.0352412,0,0.0131433,0,0.113524,0.0218161,0.0298365,0,0.0167704,0
CFH,0.0399551,0,0.00461994,0.0147731,0.00774743,0.0292796,0.0424377,0.3828982,0.0145743,0.0377865,0.1175461,0.0985573
FUCA2,255.133333,249.22589,238.899415,277.02982,262.816701,237.350254,325.754059,221.491586,326.21967,262.890919,281.64676,267.55678
GCLC,71.41626,68.571695,102.651686,89.311218,72.20073,51.267492,72.134771,43.26707,55.666311,50.727902,53.099872,73.08786
NFYA,18.99084,21.6177,20.46184,20.7114,19.59562,20.34426,20.11337,18.57489,17.8467,18.22059,17.41946,20.01988
STPG1,10.1547999,11.528911,10.3719649,12.588049,11.0242405,7.906486,7.527375,7.952542,8.089775903,8.2121104,8.736307089,9.316623
NIPAL3,25.704289,28.107384,26.029893,23.0597527,20.97357,16.51519,23.100069,17.776356,22.452032,24.308754,22.7969762,23.037997
LAS1L,9.2087258,10.7748732,9.870296,12.324402,9.924787,26.148116,14.52309634,20.071918,14.8520218,11.414922,11.20077,13.49931
ENPP4,10.0311,11.2202,9.5286,10.0598,10.317,6.11978,9.86757,6.73416,8.46039,9.13606,10.3597,11.206
SEMA3F,1.736835,2.141688,2.149781,3.017169,2.2610873,2.27447,2.346387,2.5301796,1.494371,2.039574,3.650651,3.754319
CFTR,13.361449,29.065997,16.838208,23.047728,18.745971,12.581541,23.432202,12.10198,19.172806,15.58732,16.564469,20.29987
ANKIB1,13.908966,16.829903,18.46188,17.093436,15.044608,16.2442329,23.029336,15.722753,13.9638891,15.733908,13.086155,14.631208
