symbol,R1_P1_T02,R2_P1_T20,R2_P1_T10,R2_P1_T12,R2_P1_T02,R2_P1_T14,R1_P1_T00,R2_P1_T18,R1_P1_T14,R1_P1_T04,R2_P1_T06,R2_P1_T16,R1_P1_T10,R1_P1_T06,R1_P1_T16,R2_P1_T08,R1_P1_T08,R1_P1_T18,R2_P1_T22,R1_P1_T20
gene0,-0.392544427140372,0.866469062682682,-0.378530619864987,-0.0488126518143267,-0.491993655290919,0.290139454911132,0.153224890353296,0.570058156216347,0.356985060586861,-0.617463544017715,-0.698639194370146,0.743424748691762,-0.220480738802316,-0.882774256049614,0.723038100719219,-0.668570104405922,-0.585041846453006,0.986836490396974,0.0388674063449233,0.539021557597093
gene1,0.421691144175769,-0.422812954132664,-0.0886053622041322,-0.0440880549384661,0.754670283047546,-0.368519632224062,0.707007923361809,-1.17640735051901,-1.5546735067647,1.24767913749529,0.510057960859712,-0.80133246506453,-0.754608194983707,0.289801793750993,-1.47678025464019,0.0384965515378811,1.24480245747349,-0.388863952172893,0.946477986909682,0.60106669599516
gene2,-0.514858586645548,0.608397748535269,-0.472638914490031,-0.604961580355197,-0.890485857724932,0.204690907442596,0.222875095197294,0.608721925726587,0.780779997654527,-0.250057202289929,-0.648816951912255,0.763732336224199,-0.042737115500564,-0.463779827538396,0.9573598851558,-0.52529649879252,-1.38358486948736,0.724219026879162,0.446503707960133,0.197003405224935
gene3,0.127969143439043,0.529970725176758,-0.0646033480680552,-0.225553317135793,0.0365225233366352,0.282689211249423,0.386336815959655,0.672599263268139,0.0621261657120805,-0.403293310608127,-0.840936731850893,0.140756893634694,-0.608466236202843,-0.76943077771449,0.458987992574956,-0.675499699629935,-0.528773108351617,0.784605939455338,0.485742294377552,0.914149525571333
gene4,0.166962286276621,0.496537683728327,-0.554834179953193,-0.53972749496728,0.351073322733571,-0.128316729023321,0.631858308940199,0.572087495008301,-0.182955087275889,-0.0142959298651419,-0.657721096853048,-0.0184884889503521,-0.52462397644455,-0.248240403739554,0.036467518510728,-0.443182477778603,-0.508712954426131,0.364119079436502,0.537862268569427,0.513798804211958
gene5,0.179544346790773,0.0007228448869455,-0.280177236085012,-0.402357841632236,0.772786178675055,-0.417866335370789,0.411078774701535,-0.788234342892704,-0.809957096929824,0.491865092373393,0.27218284259347,-0.650901405230935,-0.38550794513633,0.323536355506528,-0.570583441467332,0.504206991371898,0.576469627204036,-0.727583676922772,-0.164470114659352,-0.251547311185916
gene6,0.607091965622285,1.28552147986099,-0.446899889673887,0.103587813191734,0.770160530187836,0.0205843380364027,0.583658388132532,0.24562678865537,0.525096175373696,-0.603277466203942,-1.18315007397634,-0.253026811432708,-1.16385801688583,-0.57955977412457,0.590552749374224,-1.06773002058837,-0.942732357665821,0.365449567227914,0.640883856457427,0.220051773322268
gene7,-0.104865914171982,-0.571910626077173,0.849393196797637,0.397531486246492,-0.699019480281019,0.561479768376009,-0.299288938885375,-0.409163491941116,0.447094317808018,0.228422823049584,0.308301813806191,-0.318056515625673,1.06060559789842,0.443744784297867,-0.272539598929717,0.918226290278597,0.928970410278584,-0.715027387141378,-0.876833339589517,-1.23836362427102
gene8,-0.610703197137151,-0.0084133968487276,0.420567578697299,0.871716952239904,-0.548130039010825,0.718100060451173,-0.299525003821602,0.859957139668878,0.731299257221597,-0.850295486331162,-0.344018352254986,0.208703380218844,0.176529042464969,-0.23964011231187,0.163405991455449,-0.367045292242684,0.0573181226925964,0.130531906180808,0.0036245300933739,0.180876068014056
gene9,-0.0648559259877878,-1.41339903437831,0.749202870147295,0.695019811316588,-0.320509745965547,0.344776838009862,-0.349489438556447,-0.93226516262732,0.0057753027970726,0.111734994179191,0.895236855932086,0.229264456745061,1.14549717366894,0.745595684434509,-0.491235112560681,0.429103764687708,1.36752250759273,-0.330973736866028,-1.49841204502233,-1.42132647462286
