symbol,0,2,4,6,8,10,12,14,16,18,20,22
TSPAN6,0.094247364,0.220188102,0.04438365,-0.145129292,-0.241332462,1.421440506,0.145359625,1.431994162,-0.110229774,0.219953657,-0.054167302,0.553569092
TNMD,-0.387417855,-0.387417855,-0.387417855,-0.387417855,-0.387417855,-0.387417855,-0.387417855,3.042847101,-0.387417855,0.799328338,-0.387417855,-0.387417855
DPM1,0.20185546,-0.101184611,0.233264952,0.638459132,0.546799869,0.796985885,1.060974742,0.623056032,1.397891647,-0.063680828,0.523013668,-0.159422455
SCYL3,-0.041793721,2.089417088,1.625621209,-0.930618209,-0.5838448,-1.69368593,-0.569352813,-0.283690577,0.353841143,-1.078378917,-0.269628472,-0.750525679
C1orf112,-0.704251281,-0.244792638,0.472188549,0.520786298,0.295329419,2.267499374,1.001195719,0.905168156,0.933921458,0.554927541,-0.147455455,0.532170017
FGR,-0.622951615,2.647036973,0.177782918,-0.622951615,-0.321063339,-0.622951615,1.863093647,-0.123995135,0.056765876,-0.622951615,-0.238441898,-0.622951615
CFH,-0.085894332,-0.611404842,-0.549577681,-0.41469435,-0.50788467,-0.22430086,-0.05391138,3.737024348,-0.417322404,-0.113894609,0.87931584,0.649440504
FUCA2,-0.136166648,-0.336603359,-0.698617882,0.56846265,0.117719136,-0.754267238,1.95555022,-1.345696859,1.967781721,0.120135335,0.709933961,0.270686009
GCLC,0.306458174,0.122088075,1.956346924,1.322467549,0.356030182,-1.193677548,0.351882625,-1.958033003,-0.821904702,-1.241421867,-1.035145112,0.411453361
NFYA,-0.413871788,1.404580463,0.63193859,0.802223303,0.025122515,0.551021664,0.39082106,-0.723576944,-1.281959542,-0.9926143,-1.619702871,0.325455137
STPG1,0.364216264,1.28858586,0.517639096,1.934319939,0.961435519,-1.426851251,-1.77297134,-1.385810538,-1.264761041,-1.15838469,-0.718014728,-0.257340994
NIPAL3,0.254178433,0.847343094,0.337605155,-0.463694279,-1.088059023,-2.649120274,-0.452168861,-2.17048746,-0.639805547,-0.115303738,-0.539291991,-0.469921713
LAS1L,-0.464596175,0.025837064,-0.248832744,0.450653032,-0.231650619,2.896240019,0.975471958,2.025619853,1.04752258,0.207720009,0.147929707,0.741026427
ENPP4,0.354752965,0.565907626,0.258586757,0.360112403,0.407530333,-0.548350767,0.323946757,-0.377627101,0.037923407,0.180215217,0.41529815,0.56350944
SEMA3F,-1.654835487,-0.911390233,-0.897526202,0.41329918,-0.710381151,-0.688311599,-0.571236038,-0.283103952,-2.154741705,-1.0894556,1.202397714,1.321203258
CFTR,-1.264960769,2.300820169,-0.218676753,1.222880857,0.271691865,-1.534432502,1.299430647,-1.707923678,0.374903642,-0.569557036,-0.293311168,0.637279198
ANKIB1,-0.19070503,0.615028184,1.009444414,0.681103997,0.13989435,0.464616056,1.9588539,0.326325952,-0.174145225,0.329329007,-0.446368217,0.022338638
CYP51A1,0.908219526,1.291274541,1.167606975,1.245008322,1.124498541,-0.426854496,0.811322783,-0.659756977,-0.219648539,0.076009205,0.336745555,0.360202688
KRIT1,-0.490598892,0.465121736,1.858562875,0.533795479,-0.664427813,1.277261742,-1.28527326,1.50451755,-0.571232986,-0.227381087,-1.102857244,-0.846787283
RAD52,1.635303766,-2.421998414,0.164100886,0.16790873,-0.185527117,-0.531146949,-0.128834381,-0.586916486,-0.033710975,0.16482253,0.762276553,0.417710725
MYH16,-0.970353094,-0.984027716,-1.105630932,-0.924977618,-0.679357219,-0.382835261,1.504245582,0.316749124,0.764268819,-1.069632176,-0.880611584,1.116717113
BAD,-0.106489347,-1.74373129,0.443238326,-0.060609149,-0.32373768,-1.374473555,-1.231671117,-0.659670495,-1.037943502,-0.564318173,-0.440115242,-0.304516993
LAP3,-1.195208709,-0.514275067,-0.307146927,-0.4875658,-0.319854194,1.661703938,1.438228849,1.452579979,1.425862777,0.296494686,-0.128749871,0.6964116
CD99,0.766148369,-0.626022236,0.15604031,-1.786713722,-0.295475975,-1.253533099,-0.469616367,0.476075811,0.373887405,-0.797708931,-0.772988703,-0.160275973
HS3ST1,-0.223960677,0.088788276,-0.170893278,-0.187323871,0.475212916,-1.456231186,1.167453071,-1.179303612,-0.612710453,-1.410623091,-1.647155242,1.541974433
ABP1,-0.255625439,-0.247425198,-0.12162387,-0.131442916,0.123670009,-2.891603307,-0.008853395,-2.565026891,-1.099232255,-0.128613198,0.291584127,-0.198564997
WNT16,-0.078245186,-0.626121251,-0.626121251,3.361388899,-0.626121251,-0.195230962,-0.626121251,-0.626121251,0.529288932,-0.626121251,2.317794252,0.961210738
HECW1,-0.493725417,2.520776859,-0.493725417,-0.493725417,-0.493725417,-0.493725417,-0.459652184,0.346583459,-0.493725417,-0.458852982,-0.493725417,-0.493725417
MAD1L1,-0.575478284,-0.782437668,0.310984934,1.099179426,0.628281822,3.019895461,0.329584585,1.910500899,-0.120781964,-0.470513384,-1.451297908,-1.212187027
LASP1,0.128407121,0.933541386,0.907259496,0.450038674,-0.604293365,-1.737263029,0.68012497,-2.806283818,-0.76990411,-0.624167409,-0.31221682,0.285333267
SNX11,-0.325959685,-0.106378472,0.459901217,0.462004689,0.280016549,3.097399294,0.721716399,2.114601742,0.21305821,-0.682109392,-0.729116757,-1.382462572
TMEM176A,-0.325149468,-1.339246089,-1.409895906,-1.127172429,-0.836114584,-1.61553499,-0.92876589,-0.839705358,-0.79996024,0.600111142,-1.124676801,0.195120147
M6PR,-0.819798172,-0.256868825,1.162336057,0.506638391,-0.507897813,3.185182387,1.266042907,0.898411522,0.892294777,0.161168494,-0.159168056,-0.305877625
KLHL13,-0.567545649,-0.412063901,-0.307027307,-0.282443915,-0.123276605,2.034289961,-0.265697685,3.988180652,-0.333998843,-0.256579555,-0.185201756,0.093037123
CYP26B1,-0.321606535,-0.321606535,-0.305520733,-0.308716357,-0.308105415,3.238811789,-0.270750958,3.246969592,-0.300224844,-0.321606535,-0.3063489,-0.321606535
ICA1,0.179692992,-0.790452223,-0.162389918,0.215744514,-0.715427655,-1.684564186,0.368219341,-0.880369306,-1.192832959,-1.215641529,-0.977984273,-1.235325928
DBNDD1,-1.524224114,-0.454161655,-0.538552891,0.010795472,-0.220111245,2.035095513,0.512328554,0.060585742,-1.366686775,-0.950780931,-0.105915995,0.953070199
ALS2,0.624891139,0.834562535,1.784773302,1.23542732,-0.149448605,0.116333738,-0.673324833,0.942116199,-1.132070479,-1.129409441,0.585032623,-0.176194347
CASP10,0.779034809,-0.316594182,1.519173185,0.338564408,1.313294074,-1.788390061,-0.080029424,-0.642765028,-1.422068233,-0.693313478,-0.241324367,2.213995743
CFLAR,0.606145163,0.266275783,1.091858779,1.527114505,0.966651446,-1.539079343,-1.198710024,-1.415736346,-1.055812226,-0.459536346,-0.400219715,-1.421357197
TFPI,0.762097798,0.704687146,0.847407835,0.570661154,0.520991611,-0.337683285,-0.500597997,0.656727743,-0.799872067,-0.581388275,-0.340415589,-0.516373065
NDUFAF7,-1.526548652,-0.694112908,-0.144846403,-0.045066397,0.660935397,2.045189282,-0.172674005,2.044078135,-0.020569162,-0.152352364,-0.69923434,-1.447536769
RBM5,1.361278958,-0.466800277,1.412453142,0.049241435,0.062809681,-2.471018573,-1.159185456,-0.986055801,-1.636663655,0.510193258,-0.062057631,0.247900031
